"Comment";"Coding";"name";"instruction";"label";"ref_type";"motivation"
"He gunna be smoking the torch 💀";"2";"no context";;"1";"slang";"The phrase 'smoking the torch' can be interpreted as slang for using a drug, likely marijuana, as 'torch' can refer to a lighter or a method of smoking. The skull emoji 💀 may imply a humorous or dark undertone related to the act of smoking."
"He gunna be smoking the torch 💀";"2";"context";;"1";"slang";"The comment uses the phrase 'smoking the torch,' which indirectly suggests drug use, as 'smoking' is commonly associated with consuming marijuana. The skull emoji (💀) can imply a humorous or exaggerated tone, often used in contexts related to partying or drug culture."
"Patrick Ewing deserve it more than Snoop Dogg 😂😂😂😂";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It mentions Patrick Ewing and Snoop Dogg, but the context is humorous and does not imply any drug-related language or meanings."
"Patrick Ewing deserve it more than Snoop Dogg 😂😂😂😂";"0";"context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. It expresses an opinion about Patrick Ewing deserving the honor more than Snoop Dogg, accompanied by laughing emojis, but there are no drug-related terms or implications."
"Think he lights one off it?";"1";"no context";;"1";"slang";"The phrase 'lights one off' is often used as slang for smoking a joint or a cigarette, which can imply drug use indirectly. It does not mention drugs directly but suggests the act of smoking, which is commonly associated with drug culture."
"Think he lights one off it?";"1";"context";;"1";"humor";"The comment uses humor to suggest that Snoop Dogg might use the Olympic torch to light a joint, which is an indirect reference to drug use. The phrase 'lights one off it' implies a connection to smoking, commonly associated with marijuana, without explicitly mentioning drugs."
"least random Snoop Dogg side quest";"0";"no context";;"1";"cultural innuendo";"The comment references Snoop Dogg, who is widely known for his association with cannabis culture. The phrase 'least random side quest' could imply a humorous or light-hearted reference to his lifestyle and interests, which often include drug-related themes, thus indicating an indirect reference to drugs."
"least random Snoop Dogg side quest";"0";"context";;"0";"";"The comment does not contain any references to drugs, slang, or related emojis. It simply expresses an opinion about Snoop Dogg's activities without any drug-related implications."
"@snoopdogg 💙💙🔥🔥";"1";"no context";;"1";"emoji";"The use of fire emojis (🔥) can often be associated with excitement or something being 'lit', which is a slang term that can refer to drug use or partying. While there are no direct drug references, the context and emojis suggest an indirect connection to a culture that may include drug references."
"@snoopdogg 💙💙🔥🔥";"1";"context";;"1";"emoji";"The use of fire emojis (🔥) can be interpreted as a reference to smoking or drugs, as fire is often associated with lighting up substances. The blue hearts (💙) do not have a direct drug reference but can imply support or admiration, which is common in Snoop Dogg's fanbase."
"Classic";"0";"no context";;"0";"";"The comment 'Classic' does not contain any references to drugs, slang, or any related emojis. It is a general term that could refer to something well-known or typical, but it does not imply any drug-related meaning."
"Classic";"0";"context";;"0";"";"The comment 'Classic' does not contain any references to drugs, either directly or indirectly. It is a general term that could refer to something being typical or well-known, but it does not imply any drug-related meaning."
"Hes gonna use it to light up his blunt";"2";"no context";;"2";"direct drug name";"The comment directly references a 'blunt,' which is a common slang term for a marijuana cigarette. This indicates a clear and direct reference to drug use."
"Hes gonna use it to light up his blunt";"2";"context";;"2";"slang";"The comment directly references drug use by implying that Snoop Dogg will use the Olympic torch to light a blunt, which is a slang term for a marijuana cigarette. This is a clear and direct connection to drug culture."
"@snoopdogg 💙💙🔥🔥";"1";"no context";;"1";"emoji";"The use of fire emojis (🔥) can be interpreted as a reference to something being 'lit' or exciting, which is often associated with drug culture. The blue heart emojis (💙) do not have a direct drug reference but can imply a sense of loyalty or love, possibly towards the artist Snoop Dogg, who is known for his association with cannabis culture."
"@snoopdogg 💙💙🔥🔥";"1";"context";;"1";"emoji";"The use of fire emojis (🔥) can be interpreted as a reference to smoking or drugs, as fire is often associated with lighting up substances. The blue hearts (💙) do not have a direct drug reference but can imply support or admiration, which is common in Snoop Dogg's fan culture."
"Hes gonna DROP IT LIKE ITS HOTT";"1";"no context";;"1";"slang";"The phrase 'drop it like it's hot' is a well-known slang expression that can imply a carefree attitude or a party vibe, often associated with drug culture, particularly in hip-hop contexts. While it doesn't directly mention drugs, it carries an indirect connotation related to drug use and partying."
"Hes gonna DROP IT LIKE ITS HOTT";"1";"context";;"1";"slang";"The phrase 'DROP IT LIKE ITS HOTT' is a reference to Snoop Dogg's song 'Drop It Like It's Hot,' which is often associated with a laid-back attitude and can imply a connection to drug culture, particularly marijuana. While it does not directly mention drugs, the phrase is commonly understood in a context that can imply drug use."
"😭🇺🇸";"0";"no context";;"0";"";"The comment consists solely of an emoji depicting a crying face and a flag of the United States. There are no references to drugs, drug-related slang, or any hidden meanings that suggest drug use."
"😭🇺🇸";"0";"context";;"0";"";"The comment consists of emojis expressing emotion (crying face) and a flag (United States), with no direct or indirect references to drugs."
"Snoop is not a athlete 🤔";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It simply expresses an opinion about Snoop, likely referring to Snoop Dogg, in a humorous or sarcastic manner without any drug-related language."
"Snoop is not a athlete 🤔";"0";"context";;"0";"";"The comment does not reference drugs directly or indirectly. It expresses skepticism about Snoop Dogg's role as an Olympic torchbearer, but does not include any drug-related language or implications."
"Why not, should be funny😂";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. The use of 'funny' and the laughing emoji suggests a light-hearted tone, but there are no drug-related terms or implications."
"Why not, should be funny😂";"0";"context";;"1";"humor";"The comment suggests that carrying the Olympic torch could be humorous, which may imply a light-hearted or sarcastic take on Snoop Dogg's persona, often associated with drug culture. The use of the laughing emoji (😂) reinforces the humorous tone, hinting at a playful reference to Snoop Dogg's known lifestyle without directly mentioning drugs."
"????";"0";"no context";;"0";"";"The comment consists solely of emojis without any context or recognizable references to drugs, slang, or hidden meanings."
"????";"0";"context";;"0";"";"The comment consists solely of question marks and does not contain any references to drugs, slang, or any other related content."
"Oh this Olympics black as hell already , 13% representing ✊🏽";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It discusses representation in the Olympics and uses a fist emoji to signify solidarity, but there are no drug-related terms or slang present."
"Oh this Olympics black as hell already , 13% representing ✊🏽";"0";"context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It focuses on representation and uses a cultural expression, but there are no drug-related terms or implications."
"As if we weren’t already a joke of a country";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug slang, or related emojis. It expresses a sentiment about the state of the country but does not imply any drug-related meanings."
"As if we weren’t already a joke of a country";"0";"context";;"0";"";"The comment does not reference drugs directly or indirectly. It expresses a negative opinion about the country but does not include any drug-related language, slang, or innuendo."
"Why";"0";"no context";;"0";"";"The comment 'Why' does not contain any references to drugs, slang, or any related language. It is a simple question without any context suggesting drug-related content."
"Why";"0";"context";;"0";"";"The comment does not contain any references to drugs, slang, or related emojis. It appears to be a straightforward inquiry without any hidden meanings."
"Why? I thought pot heads were frowned upon in the Olympics....";"2";"no context";;"1";"slang";"The term 'pot heads' is a slang reference to people who use marijuana, indicating an indirect reference to drug use in the context of the Olympics."
"Why? I thought pot heads were frowned upon in the Olympics....";"2";"context";;"1";"humor";"The comment indirectly references drug use by mentioning 'pot heads,' which is a slang term for people who use marijuana. The humor in the comment suggests a light-hearted critique of the Olympic standards regarding drug use."
"He literary smoked his way to he top lol - He is a real rocket 🚀";"2";"no context";;"1";"slang, humor";"The phrase 'smoked his way to the top' suggests drug use in a humorous context, implying that the person achieved success through smoking, which can be interpreted as a reference to marijuana or other substances. The use of 'rocket' emoji could imply a high or elevated state, further hinting at drug-related connotations."
"He literary smoked his way to he top lol - He is a real rocket 🚀";"2";"context";;"1";"slang, humor";"The comment uses the phrase 'smoked his way to the top,' which is a common slang expression that can imply drug use, particularly marijuana, associated with Snoop Dogg's public persona. The use of 'lol' adds a humorous tone, suggesting a light-hearted reference rather than a serious accusation. The rocket emoji could imply high achievement or elevation, which can also be interpreted as a nod to drug culture, but it is more ambiguous."
"I hope he Crip walk with it";"0";"no context";;"1";"slang";"The phrase 'Crip walk' is a reference to a dance associated with the Crips gang, which can have connotations related to street culture and potentially drug-related activities. While it does not directly mention drugs, the context suggests an indirect reference to a lifestyle that may involve drug use."
"I hope he Crip walk with it";"0";"context";;"0";"none";"The comment references 'Crip walk,' which is a dance associated with the Crips gang culture, but it does not directly or indirectly reference drugs. It is more about cultural expression rather than drug-related language."
"bro finna be more blazed than the torch itself 💀";"2";"no context";;"2";"slang";"The phrase 'blazed' is a common slang term for being high on marijuana, indicating a direct reference to drug use. The use of the skull emoji (💀) can also imply a humorous or exaggerated take on the intensity of the experience."
"bro finna be more blazed than the torch itself 💀";"2";"context";;"1";"slang";"The comment uses the slang term 'blazed,' which is commonly associated with being high or under the influence of marijuana. The phrase suggests that Snoop Dogg will be more affected by drugs than the Olympic torch, indicating an indirect reference to drug use."
"🔥🔥👌🤘😎";"1";"no context";;"0";"";"The comment consists solely of emojis that express excitement or approval but does not contain any direct or indirect references to drugs."
"🔥🔥👌🤘😎";"1";"context";;"1";"emoji";"The use of fire emojis (🔥) and the 'OK' hand sign (👌) can be interpreted as slang for excitement or approval, which may indirectly reference the culture surrounding cannabis, especially in relation to Snoop Dogg's public persona. The 'rock on' hand sign (🤘) and sunglasses emoji (😎) further emphasize a laid-back, cool vibe often associated with drug culture, but they do not directly mention drugs."
"snoop safely uses the torch as a lighter for his joint 🍁🥦";"2";"no context";;"2";"direct drug name, emoji";"The comment directly references drug use with the mention of 'joint,' which is a common term for a marijuana cigarette. The use of the marijuana leaf emoji (🍁) further emphasizes this connection, indicating a clear reference to cannabis."
"snoop safely uses the torch as a lighter for his joint 🍁🥦";"2";"context";;"2";"slang, emoji";"The comment directly references drug use by suggesting that Snoop Dogg uses the Olympic torch as a lighter for a joint, which is a common slang term for a marijuana cigarette. The use of the cannabis leaf emoji (🍁) further emphasizes the drug reference."
"He is always with a torch anyways, he is used to it 😂";"1";"no context";;"1";"slang";"The term 'torch' can be interpreted as slang for a lighter, which is often associated with smoking substances, including drugs. The use of the laughing emoji suggests a humorous or light-hearted tone, but the reference to 'torch' indicates an indirect connection to drug culture."
"He is always with a torch anyways, he is used to it 😂";"1";"context";;"1";"humor";"The comment uses humor to imply that Snoop Dogg is accustomed to carrying a 'torch', which can be interpreted as a reference to drug use, particularly marijuana. The laughing emoji suggests a light-hearted tone, indicating that the commenter is making a playful connection rather than a direct accusation."
"nah bro gunna use it to light his blunt";"2";"no context";;"2";"slang";"The comment directly refers to using a lighter to light a 'blunt,' which is a slang term for a marijuana cigar. This indicates a clear reference to drug use."
"nah bro gunna use it to light his blunt";"2";"context";;"1";"slang";"The comment indirectly references drug use by suggesting that Snoop Dogg will use the Olympic torch to light a blunt, which is a slang term for a marijuana cigarette. This implies drug use without explicitly naming any drugs."
"Hope he don’t drop it likes it hot. 🔥";"1";"no context";;"1";"slang";"The phrase 'drop it like it's hot' is a well-known slang expression that can imply a reference to drug use or partying culture, suggesting a carefree attitude often associated with substance use. The fire emoji (🔥) further emphasizes this connotation, as it is often used to signify something exciting or intense, which can be linked to drug-related experiences."
"Hope he don’t drop it likes it hot. 🔥";"1";"context";;"1";"humor";"The comment uses a play on words referencing Snoop Dogg's song 'Drop It Like It's Hot,' which is often associated with drug culture and partying. The fire emoji (🔥) further emphasizes the playful tone, hinting at something 'hot' or exciting, which can be interpreted as a subtle nod to drug-related themes."
"What hasn’t he done. He has to be the most accomplished human being in history.";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug-related slang, or any hidden meanings associated with drug use. It simply expresses admiration for someone's accomplishments."
"What hasn’t he done. He has to be the most accomplished human being in history.";"0";"context";;"0";"";"The comment does not contain any references to drugs, drug-related language, or any slang that would imply drug use. It simply expresses admiration for Snoop Dogg's accomplishments."
"Plot twist the torch ends up being a blunt🫡🇺🇸💨";"2";"no context";;"2";"slang";"The comment directly refers to a 'blunt,' which is a slang term for a marijuana cigarette. The use of the emoji 💨, which often represents smoke, further reinforces the drug reference."
"Plot twist the torch ends up being a blunt🫡🇺🇸💨";"2";"context";;"1";"slang, humor";"The comment uses the term 'blunt,' which is slang for a marijuana cigar, indicating an indirect reference to drugs. The humor in the comment suggests a playful twist on the idea of carrying the Olympic torch."
"Snoop Dogg is the best rapper in the world💀";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It simply expresses admiration for Snoop Dogg as a rapper, and the skull emoji (💀) does not imply drug use in this context."
"Snoop Dogg is the best rapper in the world💀";"0";"context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. It simply expresses admiration for Snoop Dogg as a rapper."
"Snoop never misses 🔥";"1";"no context";;"1";"emoji, cultural innuendo";"The comment uses the fire emoji (🔥), which can imply something is 'lit' or exciting, often associated with drug culture. Additionally, referencing Snoop Dogg, a well-known figure in hip-hop culture who has openly discussed drug use, adds an indirect reference to drugs."
"Snoop never misses 🔥";"1";"context";;"0";"";"The comment 'Snoop never misses 🔥' does not contain any direct or indirect references to drugs. The fire emoji (🔥) is often used to signify something that is exciting or impressive, but it does not specifically imply drug use in this context."
"Great side mission";"0";"no context";;"0";"";"The comment 'Great side mission' does not contain any direct or indirect references to drugs. It appears to be a general statement that could refer to a variety of contexts, such as gaming or personal tasks, without any drug-related connotation."
"Great side mission";"0";"context";;"0";"";"The comment 'Great side mission' does not contain any direct or indirect references to drugs. It appears to be a general positive remark about Snoop Dogg's involvement with the Olympic torch, without any drug-related connotations."
"The Olympic Torch is gonna be one of his Blunts from high school.";"2";"no context";;"1";"slang";"The comment uses the term 'blunts,' which is slang for marijuana cigarettes. While it does not directly mention drugs, the reference to 'blunts' implies a connection to drug culture."
"The Olympic Torch is gonna be one of his Blunts from high school.";"2";"context";;"1";"humor";"The comment indirectly references drugs by suggesting that the Olympic torch will be a blunt, which is a slang term for a marijuana cigar. This is a humorous take on Snoop Dogg's well-known association with cannabis culture."
"What?😅";"0";"no context";;"0";"";"The comment 'What?😅' does not contain any references to drugs, either directly or indirectly. The emoji used (😅) suggests a nervous or awkward laugh, but it does not imply any drug-related context."
"What?😅";"0";"context";;"0";"";"The comment 'What?😅' does not contain any references to drugs, either directly or indirectly. The use of the emoji suggests a light-hearted or confused reaction, but it does not imply any drug-related meaning."
"He gonna light a blunt up with it";"2";"no context";;"2";"slang";"The comment directly refers to drug use by mentioning 'blunt,' which is a slang term for a cigar that has been hollowed out and filled with marijuana. The phrase 'light a blunt up' clearly indicates the act of smoking cannabis."
"He gonna light a blunt up with it";"2";"context";;"2";"slang";"The comment directly references 'light a blunt,' which is a slang term for smoking marijuana. This indicates a clear and direct connection to drug use."
"Snoop out of breath 💨💨💨 Paris like that's that damn zaza..";"1";"no context";;"2";"slang";"The comment directly refers to 'zaza', which is a slang term for high-quality marijuana. The use of the smoke emoji (💨) further emphasizes the drug reference, indicating inhalation or smoking."
"Snoop out of breath 💨💨💨 Paris like that's that damn zaza..";"1";"context";;"1";"slang";"The comment uses 'zaza', which is slang for high-quality marijuana, indicating an indirect reference to drugs. The emojis 💨💨💨 also suggest smoke, further implying a connection to cannabis."
"💙💙🔥🔥🔥🔥";"1";"no context";;"0";"";"The comment consists solely of blue heart and fire emojis, which do not contain any direct or indirect references to drugs. The emojis can represent various emotions or excitement but lack any specific drug-related connotation."
"💙💙🔥🔥🔥🔥";"1";"context";;"0";"";"The comment consists solely of blue heart and fire emojis, which do not directly or indirectly reference drugs. The emojis can be interpreted in various ways, but there are no clear drug-related connotations present."
"Bring Charlie with ya brodie";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It simply suggests bringing someone named Charlie along."
"Bring Charlie with ya brodie";"0";"context";;"1";"slang";"The comment uses 'Charlie,' which is a slang term for cocaine. This indicates an indirect reference to drugs, as it suggests bringing along a drug rather than explicitly stating it."
"😂😂😂";"0";"no context";;"0";"";"The comment consists solely of laughing emojis and does not contain any references to drugs, slang, or hidden meanings related to drug use."
"😂😂😂";"0";"context";;"0";"";"The comment consists solely of laughing emojis and does not contain any references to drugs, either directly or indirectly."
"Iconic!";"0";"no context";;"0";"";"The comment 'Iconic!' does not contain any references to drugs, slang, or any related language. It is a general expression of admiration or approval."
"Iconic!";"0";"context";;"0";"";"The comment 'Iconic!' does not contain any references to drugs, slang, or any related emojis. It is a straightforward expression of admiration or approval."
"Why don’t we get someone who has actually accomplished something like Donald Trump or George W. Bush";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug-related slang, or emojis. It discusses political figures and accomplishments without any hidden meanings related to drug culture."
"Why don’t we get someone who has actually accomplished something like Donald Trump or George W. Bush";"0";"context";;"0";"none";"The comment does not reference drugs in any form, whether directly or indirectly. It discusses political figures and their accomplishments without any drug-related language or implications."
"The Olympics will never be the same !!";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug-related slang, or any hidden meanings associated with drug use. It appears to be a general statement about the Olympics."
"The Olympics will never be the same !!";"0";"context";;"0";"";"The comment does not contain any references to drugs, slang, or any related language. It expresses a general sentiment about the Olympics without any drug-related implications."
"Y’all know weed is illegal in France, right?";"2";"no context";;"2";"direct drug name";"The comment directly references 'weed,' which is a common slang term for marijuana, indicating a clear discussion about drug legality."
"Y’all know weed is illegal in France, right?";"2";"context";;"1";"cultural innuendo";"The comment indirectly references drug use by mentioning weed, which is a common slang term for marijuana. While it does not explicitly promote drug use, it implies awareness of the legal status of cannabis in France, suggesting a connection to the broader conversation about drugs."
"T to the O to the R-C-H. Snoop Dogg carry flames to the O-lympic Games.";"0";"no context";;"1";"slang";"The comment uses the phrase 'carry flames,' which can be interpreted as a reference to smoking or using drugs, particularly in the context of Snoop Dogg, who is known for his association with cannabis culture. The playful spelling of 'torch' also hints at this meaning."
"T to the O to the R-C-H. Snoop Dogg carry flames to the O-lympic Games.";"0";"context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It plays with the spelling of 'torch' and mentions Snoop Dogg carrying flames, which is a literal interpretation related to the Olympic torch, without any drug-related connotations."
"legendary crip";"0";"no context";;"0";"";"The comment 'legendary crip' does not contain any direct or indirect references to drugs. The term 'crip' may refer to a gang affiliation, but it does not imply drug use or related slang."
"legendary crip";"0";"context";;"1";"slang";"The term 'crip' is often associated with the Crips gang, which has cultural ties to drug culture and slang. While it does not directly mention drugs, it implies a connection to a lifestyle that may include drug references."
"It’ll be a torch alright! 💨💨";"1";"no context";;"1";"emoji";"The comment uses the emoji 💨, which is often associated with smoking or the act of inhaling, suggesting a reference to drug use, particularly marijuana. The phrase 'It’ll be a torch' could imply lighting up a joint, making it an indirect reference to drugs."
"It’ll be a torch alright! 💨💨";"1";"context";;"1";"emoji";"The comment uses the cloud emoji (💨), which is often associated with smoking or the act of inhaling smoke, suggesting an indirect reference to drug use, particularly marijuana, which is commonly linked to Snoop Dogg's public persona."
"Literally completed everything in life you can possibly imagine 😂😂";"0";"no context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. The use of 'literally' and the laughing emojis suggests humor or exaggeration about life achievements, but there are no drug-related terms or implications."
"Literally completed everything in life you can possibly imagine 😂😂";"0";"context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. It expresses a humorous sentiment about achieving everything in life, but does not imply any drug-related meanings."
"Why lol";"0";"no context";;"0";"";"The comment 'Why lol' does not contain any references to drugs, slang, or any hidden meanings related to drug use. It appears to be a simple expression of confusion or amusement."
"Why lol";"0";"context";;"0";"";"The comment 'Why lol' does not contain any references to drugs, either directly or indirectly. It appears to express confusion or amusement without any drug-related connotations."
"merica fr 🇺🇸";"0";"no context";;"0";"";"The comment 'merica fr 🇺🇸' does not contain any references to drugs, either directly or indirectly. It appears to be a patriotic expression related to America, with the use of the flag emoji emphasizing national pride."
"merica fr 🇺🇸";"0";"context";;"0";"";"The comment 'merica fr 🇺🇸' does not contain any references to drugs, either directly or indirectly. It expresses a patriotic sentiment towards America, indicated by the use of 'merica' and the American flag emoji, but lacks any drug-related language or implications."
"🔥🔥 🇸🇳 🇺🇸 🇫🇷 @snoopdogg 😎😎";"0";"no context";;"1";"emoji, cultural innuendo";"The use of fire emojis (🔥) can often imply something exciting or intense, which can be associated with drug culture. Additionally, mentioning @snoopdogg, who is known for his association with cannabis, adds a layer of indirect reference to drugs. The combination of emojis and the mention of a well-known figure in the drug culture suggests an indirect reference."
"🔥🔥 🇸🇳 🇺🇸 🇫🇷 @snoopdogg 😎😎";"0";"context";;"0";"";"The comment consists of fire emojis and flags, which do not reference drugs directly or indirectly. The emojis and flags seem to express excitement and support for Snoop Dogg carrying the Olympic torch, without any drug-related connotations."
"He should pass it off to Chelsey Handler 🚬 I’m just sayin 😂";"1";"no context";;"1";"slang, emoji";"The comment uses the emoji of a cigarette (🚬), which can imply smoking or drug use, and the phrase 'pass it off' can suggest sharing or distributing something, potentially hinting at drugs. The humor and sarcasm in 'I’m just sayin' adds a layer of indirectness."
