"No.";"Human Annotation";"Language";"text";"Version";"instruction";"R";"label";"motivation"
"8";"contra";"Original language (EN)";"20% tariffs if anybody cares. Trump promised up to 20% tariffs on all imports.

Also a good time to remind people that China doesn't pay the tariffs on imports from China. The importer does. And that importer will pass those costs to Americans.

If there's no cheaper, competing American product, then people will just be forced to buy the more expensive product. The US doesn't compete with China and a lot of products so the latter is likely.";"Tertiar";;;"0";"The comment discusses tariffs and their implications without expressing a clear approval or disapproval of Trump. It presents factual information and analysis rather than a personal opinion on Trump's policies."
"8";"contra";"Original language (EN)";"20% tariffs if anybody cares. Trump promised up to 20% tariffs on all imports.

Also a good time to remind people that China doesn't pay the tariffs on imports from China. The importer does. And that importer will pass those costs to Americans.

If there's no cheaper, competing American product, then people will just be forced to buy the more expensive product. The US doesn't compete with China and a lot of products so the latter is likely.";"Binär";;;"1";"The comment expresses disapproval of Trump's tariff policy, highlighting the negative impact on American consumers and the lack of competitiveness against China."
"9";"contra";"Original language (EN)";"He said 200%, 300%, and 2000% in a single statement. He has no concept of what the % will actually be.";"Tertiar";;;"-1";"The comment criticizes Trump's use of percentages, implying a lack of understanding or credibility, which indicates disapproval."
"9";"contra";"Original language (EN)";"He said 200%, 300%, and 2000% in a single statement. He has no concept of what the % will actually be.";"Binär";;;"1";"The comment criticizes Trump's use of percentages, implying a lack of understanding or credibility, which indicates disapproval."
"10";"contra";"Original language (EN)";"Trump backtracking on campaign pledges? No way! Next thing you know, Mexico will not be paying for the wall either.";"Tertiar";;;"-1";"The comment expresses skepticism and disapproval of Trump's actions, suggesting that he is not fulfilling his campaign promises."
"10";"contra";"Original language (EN)";"Trump backtracking on campaign pledges? No way! Next thing you know, Mexico will not be paying for the wall either.";"Binär";;;"1";"The comment expresses skepticism and disapproval of Trump's actions, suggesting that he is not fulfilling his campaign promises."
"11";"contra";"Original language (EN)";"Just a few months later: “Nobody knew healthcare could be so complicated.";"Tertiar";;;"0";"The comment expresses a neutral observation about healthcare without explicitly approving or disapproving of Trump."
"11";"contra";"Original language (EN)";"Just a few months later: “Nobody knew healthcare could be so complicated.";"Binär";;;"1";"The comment expresses a negative sentiment towards Trump's understanding of healthcare, implying disapproval of his handling of the issue."
"12";"contra";"Original language (EN)";"So he backtracks on one of the only two real campaign promises, a month before he even takes office? Yeah, this is going to suck.";"Tertiar";;;"-1";"The comment expresses disappointment and skepticism about Trump's actions regarding his campaign promises, indicating a disapproval of Trump."
"12";"contra";"Original language (EN)";"So he backtracks on one of the only two real campaign promises, a month before he even takes office? Yeah, this is going to suck.";"Binär";;;"1";"The comment expresses disappointment and criticism regarding Trump's actions, indicating disapproval."
"13";"contra";"Original language (EN)";"I’ve never heard of Project 2025.";"Tertiar";;;"0";"The comment expresses a lack of knowledge about Project 2025 but does not indicate any approval or disapproval of Donald J. Trump."
"13";"contra";"Original language (EN)";"I’ve never heard of Project 2025.";"Binär";;;"2";"The comment does not express a clear approval or disapproval of Donald J. Trump; it simply states a lack of knowledge about a specific project."
"14";"contra";"Original language (EN)";"If you thought Trump was going to do anything except make his legal troubles go away, enrich himself and his family, and get revenge on the people he hates, then you need to get your head examined.";"Tertiar";;;"-1";"The comment expresses a clear disapproval of Donald J. Trump, suggesting that his actions are self-serving and harmful, indicating a negative view."
"14";"contra";"Original language (EN)";"If you thought Trump was going to do anything except make his legal troubles go away, enrich himself and his family, and get revenge on the people he hates, then you need to get your head examined.";"Binär";;;"1";"The comment expresses a negative view of Trump, suggesting that his actions are self-serving and harmful, which indicates disapproval."
"15";"contra";"Original language (EN)";"Don’t forget trojan horse in more billionaires into positions of power, continue deregulating industries so shit everywhere is more unsafe and unhealthy, and intentionally destabilize america’s reputation internationally.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump's actions, suggesting that he is allowing billionaires to gain power, deregulating industries, and harming America's international reputation."
"15";"contra";"Original language (EN)";"Don’t forget trojan horse in more billionaires into positions of power, continue deregulating industries so shit everywhere is more unsafe and unhealthy, and intentionally destabilize america’s reputation internationally.";"Binär";;;"1";"The comment expresses disapproval of Trump's actions, suggesting that he is allowing billionaires to gain power, deregulating industries, and harming America's international reputation."
"16";"contra";"Original language (EN)";"lol anyone that thought this rapist would help lower prices on anything is exactly the kind of stupid republicans love.";"Tertiar";;;"-1";"The comment expresses disapproval of Donald J. Trump by labeling him a 'rapist' and criticizing those who support him as 'stupid,' indicating a strong negative sentiment."
"16";"contra";"Original language (EN)";"lol anyone that thought this rapist would help lower prices on anything is exactly the kind of stupid republicans love.";"Binär";;;"1";"The comment expresses disapproval of Donald J. Trump by referring to him as a 'rapist' and criticizing those who support him as 'stupid,' indicating a negative view."
"17";"contra";"Original language (EN)";"The funniest part is, they’re so stupid that they think by voting for him somehow makes them smart. Like they’re a part of a secret group that knows something and you don’t. “Just wait and see!";"Tertiar";;;"-1";"The comment expresses a negative view towards those who support Trump, suggesting that they are 'stupid' for voting for him and implying that their belief in being part of a 'secret group' is misguided. This indicates disapproval of Trump and his supporters."
"17";"contra";"Original language (EN)";"The funniest part is, they’re so stupid that they think by voting for him somehow makes them smart. Like they’re a part of a secret group that knows something and you don’t. “Just wait and see!";"Binär";;;"1";"The comment expresses a negative view of Trump supporters, suggesting that they are foolish for voting for him and implying that their belief in being part of a 'secret group' is misguided. This indicates disapproval of Trump."
"18";"contra";"Original language (EN)";"MAGA falls for easily disproven lies yet again.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump supporters by stating they fall for lies, which implies a negative view of Trump and his followers."
"18";"contra";"Original language (EN)";"MAGA falls for easily disproven lies yet again.";"Binär";;;"1";"The comment expresses disapproval of Trump supporters by stating they fall for lies, indicating a negative view towards Trump and his followers."
"19";"pro";"Original language (EN)";"He literally told people to go home wym “incite insurrection” also if you actually watch the capitol protest footage, nobody did ANYTHING until the capitol police shot rubber bullets into the crowd for no reason AND there were undercover fbi agents in the crowd encouraging the bad behavior, if anyone incited the riot it was the fuckin capitol police";"Tertiar";;;"0";"The comment expresses a critical view of the actions of the Capitol police and suggests that they were responsible for inciting the riot, rather than Trump. However, it does not explicitly approve or disapprove of Trump himself, making it neutral."
"19";"pro";"Original language (EN)";"He literally told people to go home wym “incite insurrection” also if you actually watch the capitol protest footage, nobody did ANYTHING until the capitol police shot rubber bullets into the crowd for no reason AND there were undercover fbi agents in the crowd encouraging the bad behavior, if anyone incited the riot it was the fuckin capitol police";"Binär";;;"1";"The comment expresses disapproval of Trump by suggesting that he did not incite the insurrection and instead blames the Capitol police and FBI agents for the violence, indicating a negative view of Trump's actions and the situation."
"20";"contra";"Original language (EN)";"Donald Trump also admitted his ""one special trick"" is to whine so much and be as obnoxious as possible until he gets his way. Alpha AF bro.";"Tertiar";;;"-1";"The comment criticizes Donald Trump by highlighting his behavior as whiny and obnoxious, which indicates disapproval."
"20";"contra";"Original language (EN)";"Donald Trump also admitted his ""one special trick"" is to whine so much and be as obnoxious as possible until he gets his way. Alpha AF bro.";"Binär";;;"1";"The comment criticizes Donald Trump by highlighting his behavior as whiny and obnoxious, which indicates disapproval."
"21";"contra";"Original language (EN)";"Every time Trump speaks, you know he is gonna lie..and he got elected as President TWICE..";"Tertiar";;;"-1";"The comment expresses a negative view of Trump by stating that he lies every time he speaks, which indicates disapproval."
"21";"contra";"Original language (EN)";"Every time Trump speaks, you know he is gonna lie..and he got elected as President TWICE..";"Binär";;;"1";"The comment expresses a negative view of Trump by stating that he lies every time he speaks, which indicates disapproval."
"22";"pro";"Original language (EN)";"He wasnt charged with an insurrection.";"Tertiar";;;"0";"The comment does not express a clear approval or disapproval of Donald J. Trump; it simply states a fact regarding his legal status."
"22";"pro";"Original language (EN)";"He wasnt charged with an insurrection.";"Binär";;;"0";"The comment suggests a defense of Trump by stating he was not charged with insurrection, which implies a positive view of him."
"23";"pro";"Original language (EN)";"Amazing that Harris and Biden are so chummy with the person they knowingly lied about stating he was a threat to democracy…";"Tertiar";;;"-1";"The comment expresses disapproval of Biden and Harris, implying that they are hypocritical for being friendly with someone they previously labeled as a threat to democracy. This suggests a negative view of the political situation, which can be interpreted as a disapproval of Trump indirectly."
"23";"pro";"Original language (EN)";"Amazing that Harris and Biden are so chummy with the person they knowingly lied about stating he was a threat to democracy…";"Binär";;;"1";"The comment expresses disapproval of Biden and Harris, implying that they are hypocritical for being friendly with someone they previously labeled as a threat to democracy, which suggests a negative view of Trump."
"24";"contra";"Original language (EN)";"Lied? He is a threat to democracy. If you can't see how and why you're obviously lacking a brain and any sort of critical thought capabilities.";"Tertiar";;;"-1";"The comment clearly expresses disapproval of Donald J. Trump by labeling him a 'threat to democracy' and criticizing those who support him."
"24";"contra";"Original language (EN)";"Lied? He is a threat to democracy. If you can't see how and why you're obviously lacking a brain and any sort of critical thought capabilities.";"Binär";;;"1";"The comment expresses a strong disapproval of Trump, labeling him as a threat to democracy and criticizing those who support him."
"25";"pro";"Original language (EN)";"Trump did not invite rioting at the capitol. There was no insurrection. Cmon huffpost do better.";"Tertiar";;;"1";"The comment defends Trump by stating he did not invite rioting and denies the occurrence of an insurrection, indicating approval of his actions."
"25";"pro";"Original language (EN)";"Trump did not invite rioting at the capitol. There was no insurrection. Cmon huffpost do better.";"Binär";;;"0";"The comment defends Trump by stating he did not invite rioting and denies the occurrence of an insurrection, indicating approval of his actions."
"26";"pro";"Original language (EN)";"When did Trump incite an insurrection?Also, Biden is literally doing everything he can to fuck us over before handing over the presidency. Including: escalating war in Russia/Ukraine, selling off border wall, stopping access to more drilling, and many more. These are your lives he’s being petty about I upset the bots :/";"Tertiar";;;"-1";"The comment expresses disapproval of Biden's actions and indirectly references Trump's involvement in the January 6 insurrection, indicating a negative view towards Trump as well."
"26";"pro";"Original language (EN)";"When did Trump incite an insurrection?Also, Biden is literally doing everything he can to fuck us over before handing over the presidency. Including: escalating war in Russia/Ukraine, selling off border wall, stopping access to more drilling, and many more. These are your lives he’s being petty about I upset the bots :/";"Binär";;;"1";"The comment expresses disapproval of Trump by questioning his actions and implying that he incited an insurrection. Additionally, it criticizes Biden but does not provide any positive remarks about Trump, indicating a negative stance."
"27";"contra";"Original language (EN)";"Seriously trumps a piece of shit. Full stop end of story";"Tertiar";;;"-1";"The comment clearly expresses a strong disapproval of Donald J. Trump by using derogatory language."
"27";"contra";"Original language (EN)";"Seriously trumps a piece of shit. Full stop end of story";"Binär";;;"1";"The comment clearly expresses a negative opinion about Trump, using derogatory language to convey disapproval."
"28";"contra";"Original language (EN)";"The whole fucking planet will regret americas decision to be an open fascist nation.";"Tertiar";;;"-1";"The comment expresses strong disapproval of America's political direction, labeling it as 'open fascist,' which indicates a negative view of Trump and his administration."
"28";"contra";"Original language (EN)";"The whole fucking planet will regret americas decision to be an open fascist nation.";"Binär";;;"1";"The comment expresses strong disapproval of America's political direction, labeling it as 'open fascist,' which indicates a negative view of Donald J. Trump and his policies."
"29";"contra";"Original language (EN)";"I imagine a lot of ""I told you so""-posts coming up, once the midterms come up.";"Tertiar";;;"0";"The comment expresses a prediction about future posts but does not explicitly approve or disapprove of Trump. It is neutral in tone."
"29";"contra";"Original language (EN)";"I imagine a lot of ""I told you so""-posts coming up, once the midterms come up.";"Binär";;;"2";"The comment does not explicitly express approval or disapproval of Trump; it seems to be more of a neutral observation about future discussions related to the midterms."
"30";"contra";"Original language (EN)";"WTF...The man lost the last election BY over 7 million votes, and now, after all he HAS said and done, he's won the popular vote with most voting Americans voting for him. I'm in the backyard right now yelling what Charleston Heston yelled in the Planet of the Apes ....""It's a madhouse,"" and now Trump will tell the federal prosecutors something else Charleston Heston said... ""Get your stinking paws off me... you damn dirty prosecutors """;"Tertiar";;;"-1";"The comment expresses disapproval of Trump by highlighting his loss in the last election and criticizing his actions and statements, indicating a negative view."
"30";"contra";"Original language (EN)";"WTF...The man lost the last election BY over 7 million votes, and now, after all he HAS said and done, he's won the popular vote with most voting Americans voting for him. I'm in the backyard right now yelling what Charleston Heston yelled in the Planet of the Apes ....""It's a madhouse,"" and now Trump will tell the federal prosecutors something else Charleston Heston said... ""Get your stinking paws off me... you damn dirty prosecutors """;"Binär";;;"1";"The comment expresses disapproval of Trump by highlighting his loss in the last election and criticizing his actions, suggesting a negative view of his influence and behavior."
"31";"contra";"Original language (EN)";"It very well may have been both terrible choices. But at least Kamala had zero plans to get rid of the constitution.";"Tertiar";;;"-1";"The comment disapproves of Trump by implying that he poses a threat to the constitution, contrasting him negatively with Kamala Harris."
"31";"contra";"Original language (EN)";"It very well may have been both terrible choices. But at least Kamala had zero plans to get rid of the constitution.";"Binär";;;"1";"The comment expresses disapproval of Trump by suggesting that he poses a threat to the constitution, contrasting him negatively with Kamala Harris."
"32";"neutral";"Original language (EN)";"Trump was their only choice.";"Tertiar";;;"0";"The comment suggests that Trump was the only option available, which indicates a neutral stance rather than outright approval or disapproval."
"32";"neutral";"Original language (EN)";"Trump was their only choice.";"Binär";;;"0";"The comment suggests that Trump was the only viable option for the speaker, indicating a level of approval or acceptance of Trump as a choice."
"33";"contra";"Original language (EN)";"It's actually mental to believe the candidate who went on live TV and had a looney rant about ""eating the dogs"" won";"Tertiar";;;"-1";"The comment expresses disbelief and ridicule towards a candidate's behavior, indicating a negative view of Trump."
"33";"contra";"Original language (EN)";"It's actually mental to believe the candidate who went on live TV and had a looney rant about ""eating the dogs"" won";"Binär";;;"1";"The comment expresses disbelief and criticism towards a candidate's behavior, indicating disapproval of Trump."
"34";"pro";"Original language (EN)";"She was the real threat, blew through 2 billion campaign fund only to get destroyed and put the fund in debt. If she did that with the nation she would spend us into Zimbabwe and destroy American freedom via a buyout from China.";"Tertiar";;;"1";"The comment expresses a negative view of Hillary Clinton while implying that her actions would have been detrimental to the nation. This suggests an approval of Trump, as it contrasts him with Clinton and highlights a belief that he would not lead the country to such a fate."
"34";"pro";"Original language (EN)";"She was the real threat, blew through 2 billion campaign fund only to get destroyed and put the fund in debt. If she did that with the nation she would spend us into Zimbabwe and destroy American freedom via a buyout from China.";"Binär";;;"0";"The comment expresses a negative view of Hillary Clinton while implying that her actions would have been detrimental to the nation. This suggests an approval of Trump by contrasting him with Clinton."
"35";"pro";"Original language (EN)";"The guy who won the popular vote and the electoral college is a threat to democracy, says the lady who was hand picked by the guy picked by the organization that torpedoed the other guy (Bernie) who would have won at least one free and open primary election.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by criticizing the legitimacy of his election and implying that the political system is manipulated against other candidates, suggesting a negative view of Trump's presidency."
"35";"pro";"Original language (EN)";"The guy who won the popular vote and the electoral college is a threat to democracy, says the lady who was hand picked by the guy picked by the organization that torpedoed the other guy (Bernie) who would have won at least one free and open primary election.";"Binär";;;"1";"The comment expresses disapproval of Trump by criticizing the legitimacy of his election and implying that the political system is manipulated against other candidates, suggesting a negative view of Trump's presidency."
"36";"contra";"Original language (EN)";"I just wanna be a fucking woman, I don't understand why half the country has suddenly decided that's the equivalent of Satanism";"Tertiar";;;"0";"The comment expresses frustration about societal attitudes towards gender identity but does not directly reference Donald J. Trump or his policies. Therefore, it is classified as neutral."
"36";"contra";"Original language (EN)";"I just wanna be a fucking woman, I don't understand why half the country has suddenly decided that's the equivalent of Satanism";"Binär";;;"1";"The comment expresses frustration with societal attitudes towards gender identity, which suggests a disapproval of the political climate that may be associated with Trump and his supporters."
"37";"pro";"Original language (EN)";"They tried to assassinate Trump, put him in jail, cancelled and banned him from every platform, ran a non-stop media propaganda machine against him, had every celebrity in the world support Harris. And he STILL won. Just shows how fucking incompetent the democrats are. Even if you hate the guy you gotta admit it was an impressive win.";"Tertiar";;;"1";"The comment expresses approval of Trump by highlighting his resilience against various attacks and framing his victory as impressive, which indicates a positive view of him."
"37";"pro";"Original language (EN)";"They tried to assassinate Trump, put him in jail, cancelled and banned him from every platform, ran a non-stop media propaganda machine against him, had every celebrity in the world support Harris. And he STILL won. Just shows how fucking incompetent the democrats are. Even if you hate the guy you gotta admit it was an impressive win.";"Binär";;;"0";"The comment expresses approval of Trump by highlighting his resilience against various attacks and framing his victory as impressive, which indicates a positive view of him."
"38";"pro";"Original language (EN)";"The woke movement was really insufferable and since it's linked to the left, the left had to pay the price";"Tertiar";;;"1";"The comment expresses disapproval of the 'woke movement' and associates it with the left, implying a favorable view towards Trump and his opposition to leftist ideologies."
"38";"pro";"Original language (EN)";"The woke movement was really insufferable and since it's linked to the left, the left had to pay the price";"Binär";;;"0";"The comment expresses disapproval of the 'woke movement' and associates it with the left, implying a favorable view towards Trump and his opposition to leftist ideologies."
"39";"contra";"Original language (EN)";"It's so cute to think Trump voters will regret this. They know exactly what they're getting and they're doubling down on it. Their lives will get worse and they'll still blame everyone but the people they're happy electing. Facebook and Twitter will keep telling them of leftist conspiracies causing all their problems and they'll continue to lap it up and ask for seconds.";"Tertiar";;;"-1";"The comment expresses a negative view of Trump voters, suggesting they are knowingly supporting a detrimental choice and will continue to blame others for their problems. This indicates disapproval of Trump and his supporters."
"39";"contra";"Original language (EN)";"It's so cute to think Trump voters will regret this. They know exactly what they're getting and they're doubling down on it. Their lives will get worse and they'll still blame everyone but the people they're happy electing. Facebook and Twitter will keep telling them of leftist conspiracies causing all their problems and they'll continue to lap it up and ask for seconds.";"Binär";;;"1";"The comment expresses a negative view of Trump voters and suggests that they are knowingly supporting a detrimental choice, indicating disapproval of Trump."
"40";"contra";"Original language (EN)";"I guess this was my last time voting, as a woman. I'm sure by next election there will either be NO election, or women will have lost all rights to vote.";"Tertiar";;;"0";"The comment expresses concern about the future of voting rights for women but does not explicitly approve or disapprove of Donald J. Trump. It reflects a neutral stance regarding Trump himself."
"40";"contra";"Original language (EN)";"I guess this was my last time voting, as a woman. I'm sure by next election there will either be NO election, or women will have lost all rights to vote.";"Binär";;;"1";"The comment expresses a sense of despair and fear regarding the future of voting rights for women, which implies disapproval of the current political climate, likely influenced by Trump's policies or rhetoric."
"41";"pro";"Original language (EN)";"Kamala is a coward. Loses, doesn’t address her supporters, quietly concedes to Trump, goes into hiding. She would have been an awful President, no spine, no backbone";"Tertiar";;;"-1";"The comment criticizes Kamala Harris and implies that her actions in relation to Trump are weak, which suggests a disapproval of her and indirectly supports Trump by contrasting him with her perceived shortcomings."
"41";"pro";"Original language (EN)";"Kamala is a coward. Loses, doesn’t address her supporters, quietly concedes to Trump, goes into hiding. She would have been an awful President, no spine, no backbone";"Binär";;;"1";"The comment criticizes Kamala Harris and implies that her actions in relation to Trump are weak, which suggests a disapproval of Trump by highlighting a negative view of his opponent's response."
"42";"contra";"Original language (EN)";"Everyone that voted for Trump will blame all woes on everyone that didn't vote for Trump. This script has been playing out for 8 FUCKING YEARS.They are trees voting for the axe and will blame wind when they are cut down";"Tertiar";;;"-1";"The comment expresses disapproval of Trump supporters by suggesting they are irrational and will blame others for their problems, indicating a negative view of Trump and his followers."
"42";"contra";"Original language (EN)";"Everyone that voted for Trump will blame all woes on everyone that didn't vote for Trump. This script has been playing out for 8 FUCKING YEARS.They are trees voting for the axe and will blame wind when they are cut down";"Binär";;;"1";"The comment expresses disapproval of Trump supporters by suggesting they shift blame for their problems onto non-supporters, indicating a negative view of Trump and his followers."
"43";"contra";"Original language (EN)";"The fact that Trump won should open everyone’s eyes to the lies they have been told";"Tertiar";;;"1";"The comment suggests that Trump's victory reveals truths that contradict previous narratives, indicating a positive view of Trump and implying that his win is significant and enlightening."
"43";"contra";"Original language (EN)";"The fact that Trump won should open everyone’s eyes to the lies they have been told";"Binär";;;"0";"The comment suggests that Trump's victory reveals truths that contradict previous narratives, indicating a positive view of Trump."
"44";"contra";"Original language (EN)";"This dude wasn’t lying when he said he could shoot someone dead live on TV and his cult would still support him";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by referring to him as a 'dude' and using the term 'cult' to describe his supporters, which carries a negative connotation."
"44";"contra";"Original language (EN)";"This dude wasn’t lying when he said he could shoot someone dead live on TV and his cult would still support him";"Binär";;;"1";"The comment expresses disapproval of Trump by referring to his supporters as a 'cult' and implying that they would support him regardless of his actions, which suggests a negative view of both Trump and his followers."
"45";"neutral";"Original language (EN)";"I guess America didn't have an issue electing a really old dude to lead the country after all. lol";"Tertiar";;;"0";"The comment is neutral as it does not express a clear approval or disapproval of Donald J. Trump. It makes a general observation about age in politics without taking a stance on Trump's presidency."
"45";"neutral";"Original language (EN)";"I guess America didn't have an issue electing a really old dude to lead the country after all. lol";"Binär";;;"1";"The comment seems to mock the election of an older candidate, which implies a disapproval of the choice made by voters, possibly hinting at a negative view of Trump as an older candidate."
"1";"contra";"German";"Ich denke, es ist klar, dass ein großer Teil der Amerikaner nicht in der Lage ist, nachzudenken.";"Tertiar";;;"0";"The comment expresses a general opinion about a portion of the American population's ability to think critically, but it does not explicitly approve or disapprove of Donald J. Trump. Therefore, it is classified as neutral."
"1";"contra";"German";"Ich denke, es ist klar, dass ein großer Teil der Amerikaner nicht in der Lage ist, nachzudenken.";"Binär";;;"1";"The comment expresses a negative view about a significant portion of Americans, which may imply disapproval of Trump's influence or the support he receives from them."
"2";"contra";"German";"Ich würde mich wahrscheinlich weniger schlecht fühlen, wenn ich wüsste, dass er das popular vote verloren hat. Aber mein Glaube, dass die meisten in diesem Land anständig sind, ist dahin. Das werde ich nie wieder zurückbekommen. Jetzt weiß ich, dass eine Mehrheit einfach nur böse und hasserfüllt ist.";"Tertiar";;;"-1";"The comment expresses disapproval of Donald J. Trump by indicating a negative feeling towards the majority of people who voted for him, suggesting they are 'evil and hateful'. This reflects a contrarian view towards Trump and his supporters."
"2";"contra";"German";"Ich würde mich wahrscheinlich weniger schlecht fühlen, wenn ich wüsste, dass er das popular vote verloren hat. Aber mein Glaube, dass die meisten in diesem Land anständig sind, ist dahin. Das werde ich nie wieder zurückbekommen. Jetzt weiß ich, dass eine Mehrheit einfach nur böse und hasserfüllt ist.";"Binär";;;"1";"The comment expresses disapproval of Donald J. Trump by indicating a negative feeling towards the majority of people who voted for him, suggesting that they are 'evil and hateful'. This reflects a contrarian view towards Trump and his supporters."
"3";"contra";"German";"Nein. Dieses Land wird nichts bereuen. Sie werden jubeln und applaudieren mit einem Grinsen im Gesicht, während wir alle zur Schlachtbank geführt werden. Wir verdienen jedes bisschen Hölle, das dieses Arschgesicht entfesseln wird.";"Tertiar";;;"-1";"The comment expresses strong disapproval of Donald J. Trump, using derogatory language and suggesting that the country will suffer as a result of his actions."
"3";"contra";"German";"Nein. Dieses Land wird nichts bereuen. Sie werden jubeln und applaudieren mit einem Grinsen im Gesicht, während wir alle zur Schlachtbank geführt werden. Wir verdienen jedes bisschen Hölle, das dieses Arschgesicht entfesseln wird.";"Binär";;;"1";"The comment expresses strong disapproval of Donald J. Trump, using derogatory language and suggesting that the country will suffer as a result of his actions."
"4";"pro";"German";"Sicher, es sieht so aus, als ob das Copium hier echt ist. Akzeptieren Sie den Verlust. Amerika hat gesprochen. Volksabstimmung, Wahlmännerstimmen, alles ein Sieg für das amerikanische Volk. Es ist scheiße, scheiße zu sein.";"Tertiar";;;"-1";"The comment expresses a clear disapproval of Trump by stating that one should accept the loss and refers to the election results as a victory for the American people, implying that Trump did not win."
"4";"pro";"German";"Sicher, es sieht so aus, als ob das Copium hier echt ist. Akzeptieren Sie den Verlust. Amerika hat gesprochen. Volksabstimmung, Wahlmännerstimmen, alles ein Sieg für das amerikanische Volk. Es ist scheiße, scheiße zu sein.";"Binär";;;"1";"The comment expresses a clear disapproval of Trump by stating that he should accept the loss and refers to the election results as a victory for the American people, implying that Trump did not win."
"5";"pro";"German";"Womp womp. Ich werde meine erschwinglichen Lebensmittel, mein Benzin und meinen Frieden für weitere 4 Jahre genießen.";"Tertiar";;;"1";"The comment expresses enjoyment of affordable food, gas, and peace, which implies a positive view of the current situation, likely attributing it to Trump's policies."
"5";"pro";"German";"Womp womp. Ich werde meine erschwinglichen Lebensmittel, mein Benzin und meinen Frieden für weitere 4 Jahre genießen.";"Binär";;;"1";"The comment expresses a sarcastic tone ('Womp womp') and suggests dissatisfaction with the current state of affordable food, gas, and peace, implying that these conditions will not improve under Trump's leadership."
