"Comment";"Coding";"name";"instruction";"label";"ref_type";"motivation"
"He’s completed every side quest at this point";"0";"context";;"0";"humor";"The comment uses a gaming metaphor to humorously suggest that Snoop Dogg has achieved many accomplishments in life. There is no direct or indirect reference to drugs."
"Shaq has 48 hours to respond";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply states that Shaq has 48 hours to respond, which could relate to a variety of non-drug-related contexts."
"Shaq has 48 hours to respond";"0";"context";;"0";"none";"The comment 'Shaq has 48 hours to respond' does not contain any direct or indirect references to drugs. It appears to be a humorous or playful challenge directed at Shaquille O'Neal, possibly in the context of a friendly rivalry or social media trend, but it does not involve drug-related language or innuendo."
"If he doesn’t light a blunt with it… I’ll be disappointed";"2";"no context";;"1";"slang";"The comment indirectly refers to drugs through the use of the word 'blunt,' which is a slang term for a marijuana cigar. The context suggests an expectation or desire for someone to use a blunt, indicating an indirect reference to drug use."
"If he doesn’t light a blunt with it… I’ll be disappointed";"2";"context";;"1";"humor";"The comment indirectly refers to drugs through humor by mentioning lighting a blunt, which is a slang term for a marijuana cigarette. The humor lies in the expectation that Snoop Dogg, known for his association with cannabis culture, would use the Olympic torch to light a blunt."
"Can he carry me next";"0";"no context";;"0";"none";"The comment 'Can he carry me next' does not contain any direct or indirect references to drugs. It appears to be a straightforward request or question, possibly related to a game or activity where someone is being 'carried' or helped, with no drug-related language or innuendo."
"Can he carry me next";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It seems to be a humorous or light-hearted comment about Snoop Dogg carrying the Olympic torch, with a playful suggestion of being carried by him."
"Love snoop but this is random asf";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses an opinion about Snoop Dogg, who is a well-known public figure, without mentioning any drug-related language or symbols."
"Love snoop but this is random asf";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses surprise or confusion about Snoop Dogg carrying the Olympic torch."
"Why?";"0";"no context";;"0";"none";"The comment 'Why?' does not contain any direct or indirect references to drugs. It is a simple question without any context or language that suggests drug-related content."
"Why?";"0";"context";;"0";"none";"The comment 'Why?' does not contain any drug-related language, slang, emojis, or hidden meanings. It is a simple question that does not reference drugs directly or indirectly."
"He’s done it all, snoop done beat the game of life several times😭😭😭";"0";"no context";;"1";"cultural innuendo";"The comment indirectly references drugs through cultural innuendo. Snoop Dogg is a well-known figure associated with cannabis use, and the phrase 'beat the game of life' humorously suggests overcoming challenges, possibly including drug-related ones."
"He’s done it all, snoop done beat the game of life several times😭😭😭";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It uses humor to express admiration for Snoop Dogg's achievements, implying he has succeeded in many aspects of life."
"Good role model for USA these days a smoking pot gang member";"2";"no context";;"1";"slang";"The comment indirectly refers to drugs through the use of the term 'smoking pot,' which is a slang term for using marijuana. The context suggests a sarcastic tone, implying criticism of a person being a role model while engaging in drug use."
"Good role model for USA these days a smoking pot gang member";"2";"context";;"1";"cultural innuendo";"The comment indirectly refers to drugs through the phrase 'smoking pot,' which is a slang term for marijuana use. It also uses sarcasm to comment on Snoop Dogg's reputation."
"Snoop gone crip walk on the moon before he dies, that’s the only quest left at this point 🔥😂";"1";"no context";;"1";"cultural innuendo";"The comment indirectly references drugs through cultural innuendo. Snoop Dogg is a well-known figure associated with cannabis culture, and the mention of him 'crip walking on the moon' humorously suggests an outlandish or 'high' idea, playing on his public persona."
"Snoop gone crip walk on the moon before he dies, that’s the only quest left at this point 🔥😂";"1";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It humorously suggests that Snoop Dogg will perform a 'crip walk' on the moon, which is a dance move associated with the Crip gang culture, but it does not relate to drug use."
"He got light a blunt with the torch 😭😭😭";"2";"no context";;"1";"slang";"The comment uses the slang term 'blunt,' which is commonly used to refer to a marijuana cigar. The phrase 'light a blunt with the torch' indirectly references drug use, as it describes the act of lighting a marijuana cigar."
"He got light a blunt with the torch 😭😭😭";"2";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg, known for his association with cannabis, would use the Olympic torch to light a blunt. This is an indirect reference to drugs through humor and cultural innuendo."
"Luv Snoop, but only those competing should carry the torch.🇺🇸";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It mentions 'Snoop,' which could refer to Snoop Dogg, a known public figure associated with cannabis culture, but the context of the comment is about carrying a torch, likely in a competitive or ceremonial sense, without any drug-related language or innuendo."
"Luv Snoop, but only those competing should carry the torch.🇺🇸";"0";"context";;"0";"none";"The comment expresses an opinion about who should carry the Olympic torch, suggesting it should be someone competing in the games. There is no reference to drugs, either directly or indirectly, in the language or emojis used."
"He gunna be smoking the torch 💀";"2";"no context";;"1";"slang";"The phrase 'smoking the torch' is an indirect reference to drug use, likely referring to smoking a substance, with 'torch' being slang for a lighter or a method of heating. The skull emoji (💀) can imply danger or intensity, often associated with drug use."
"He gunna be smoking the torch 💀";"2";"context";;"1";"humor";"The comment uses humor to indirectly reference drugs by playing on Snoop Dogg's well-known association with smoking marijuana. The phrase 'smoking the torch' is a humorous twist on the Olympic torch, implying Snoop Dogg's reputation for smoking."
"Patrick Ewing deserve it more than Snoop Dogg 😂😂😂😂";"0";"no context";;"1";"cultural innuendo";"The comment indirectly references drugs through cultural innuendo. Snoop Dogg is widely known for his association with cannabis use, and mentioning him in a humorous context can imply a drug-related reference."
"Patrick Ewing deserve it more than Snoop Dogg 😂😂😂😂";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses an opinion about who deserves to carry the Olympic torch, using humor and emojis to convey the message."
"Think he lights one off it?";"1";"no context";;"1";"indirect";"The phrase 'lights one off it' is likely an indirect reference to smoking, potentially involving marijuana or another substance. The use of 'lights one' suggests lighting a joint or cigarette, which is a common way to consume certain drugs."
"Think he lights one off it?";"1";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg, known for his association with cannabis, might use the Olympic torch to light a joint. This is an indirect reference to drugs through humor."
"least random Snoop Dogg side quest";"0";"no context";;"1";"cultural innuendo";"The comment indirectly refers to drugs through cultural innuendo. Snoop Dogg is widely known for his association with cannabis use, and mentioning him in a 'side quest' context suggests a humorous or sarcastic reference to drug-related activities."
"least random Snoop Dogg side quest";"0";"context";;"1";"humor";"The comment uses humor to refer to Snoop Dogg's well-known association with cannabis culture. The phrase 'side quest' humorously suggests that carrying the Olympic torch is an unexpected or unusual activity for Snoop Dogg, who is more famously associated with marijuana use."
"@snoopdogg 💙💙🔥🔥";"1";"no context";;"1";"cultural innuendo";"The comment tags Snoop Dogg, a well-known cultural figure associated with cannabis use, and uses fire emojis which can imply something is 'lit' or exciting, often used in contexts involving cannabis. However, there is no direct mention of drugs."
"@snoopdogg 💙💙🔥🔥";"1";"context";;"0";"none";"The comment uses heart and fire emojis, which are generally used to express love, excitement, or enthusiasm. There is no direct or indirect reference to drugs in this comment."
"Classic";"0";"no context";;"0";"none";"The comment 'Classic' does not contain any direct or indirect references to drugs. It is a general term that can be used to describe something traditional or typical, without any drug-related connotations."
"Classic";"0";"context";;"0";"none";"The comment 'Classic' does not contain any direct or indirect references to drugs. It is a general term that could be expressing approval or nostalgia, without any drug-related connotations."
"Hes gonna use it to light up his blunt";"2";"no context";;"2";"slang";"The comment directly refers to drug use by mentioning 'blunt,' which is a slang term for a marijuana cigar. The phrase 'light up' further indicates the act of smoking it."
"Hes gonna use it to light up his blunt";"2";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg will use the Olympic torch to light a blunt, which is a slang term for a marijuana cigarette. This is an indirect reference to drugs through humor and cultural innuendo, as Snoop Dogg is known for his association with cannabis culture."
"@snoopdogg 💙💙🔥🔥";"1";"no context";;"1";"cultural innuendo";"The comment is directed at Snoop Dogg, a well-known cultural figure associated with cannabis use. The use of fire emojis can be interpreted as a reference to smoking or something being 'lit,' which is slang for exciting or excellent, often used in contexts involving cannabis."
"@snoopdogg 💙💙🔥🔥";"1";"context";;"0";"none";"The comment uses heart and fire emojis, which are generally used to express love, excitement, or enthusiasm. There is no direct or indirect reference to drugs in this comment."
"Hes gonna DROP IT LIKE ITS HOTT";"1";"no context";;"1";"cultural innuendo";"The phrase 'drop it like it's hot' is a cultural reference to a popular song by Snoop Dogg. While the song itself is not explicitly about drugs, Snoop Dogg is known for his association with marijuana culture, and the phrase can carry an indirect reference to drug culture."
"Hes gonna DROP IT LIKE ITS HOTT";"1";"context";;"1";"cultural innuendo";"The comment references Snoop Dogg's famous song 'Drop It Like It's Hot,' which is known for its association with Snoop Dogg's persona, often linked to cannabis culture. The phrase itself doesn't directly mention drugs but is culturally associated with Snoop Dogg's image, which includes drug references."
"😭🇺🇸";"0";"no context";;"0";"none";"The comment consists of a crying face emoji and a United States flag emoji. There is no direct or indirect reference to drugs, drug-related slang, or hidden meanings related to drugs in this comment."
"😭🇺🇸";"0";"context";;"0";"none";"The comment consists of emojis that do not have any direct or indirect drug-related connotations. The crying face and American flag emojis do not suggest any drug-related language or hidden meanings."
"Snoop is not a athlete 🤔";"0";"no context";;"1";"cultural innuendo";"The comment indirectly refers to drugs through cultural innuendo. Snoop Dogg is widely known for his association with cannabis use, and the comment may be hinting at this aspect of his persona rather than his athletic abilities."
"Snoop is not a athlete 🤔";"0";"context";;"0";"none";"The comment questions Snoop Dogg's athletic ability, which is unrelated to drug references. There is no drug-related language, slang, or innuendo present."
"Why not, should be funny😂";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply suggests that something should be funny, accompanied by a laughing emoji, which does not imply drug use."
"Why not, should be funny😂";"0";"context";;"0";"humor";"The comment does not contain any direct or indirect references to drugs. It simply expresses amusement at the idea of Snoop Dogg carrying the Olympic torch, likely due to his well-known personality and public image, but does not mention drugs."
"????";"0";"no context";;"0";"none";"The comment consists only of question marks, which do not contain any drug-related language, slang, emojis, or hidden meanings."
"????";"0";"context";;"0";"none";"The comment consists only of question marks and does not contain any drug-related language, slang, emojis, or hidden meanings."
"Oh this Olympics black as hell already , 13% representing ✊🏽";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It discusses the representation of Black athletes in the Olympics, using a percentage and an emoji to express pride and solidarity."
"Oh this Olympics black as hell already , 13% representing ✊🏽";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It focuses on racial representation and pride, indicated by the use of the phrase 'black as hell' and the raised fist emoji, which is a symbol of solidarity and support for the Black community."
"As if we weren’t already a joke of a country";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It appears to be a general statement expressing dissatisfaction or criticism about the state of the country, without any drug-related language or innuendo."
"As if we weren’t already a joke of a country";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It appears to be a critical or sarcastic remark about the country, possibly in relation to Snoop Dogg carrying the Olympic torch, but it does not involve drug-related language or innuendo."
"Why";"0";"no context";;"0";"none";"The comment 'Why' does not contain any direct or indirect references to drugs, nor does it include any drug-related slang, emojis, or hidden meanings. It is a simple question without context."
"Why";"0";"context";;"0";"none";"The comment 'Why' does not contain any direct or indirect references to drugs, nor does it use any slang, emojis, or cultural innuendo related to drugs. It is a simple question without any hidden meanings."
"Why? I thought pot heads were frowned upon in the Olympics....";"2";"no context";;"1";"slang";"The term 'pot heads' is a slang reference to individuals who use marijuana, which is a drug. The comment indirectly refers to drug use by mentioning this slang term in the context of the Olympics."
"Why? I thought pot heads were frowned upon in the Olympics....";"2";"context";;"1";"slang";"The comment uses the term 'pot heads,' which is a slang term for people who use marijuana. This indirectly references drug use, specifically marijuana, in the context of the Olympics."
"He literary smoked his way to he top lol - He is a real rocket 🚀";"2";"no context";;"1";"slang";"The phrase 'smoked his way to the top' can be interpreted as a slang reference to drug use, particularly smoking substances like marijuana or other drugs. The use of 'rocket' emoji may imply rapid ascent or success, but in this context, it could also be a metaphorical reference to the effects of drug use."
"He literary smoked his way to he top lol - He is a real rocket 🚀";"2";"context";;"1";"humor";"The comment uses the phrase 'smoked his way to the top,' which humorously and indirectly references Snoop Dogg's well-known association with marijuana. The use of 'rocket' emoji could imply rapid ascent or success, but in this context, it complements the humor about 'smoking' as a means to success."
"I hope he Crip walk with it";"0";"no context";;"0";"cultural innuendo";"The comment refers to 'Crip walk,' which is a dance associated with the Crips gang. While gangs may be involved in drug activities, the comment itself does not directly or indirectly reference drugs. It is more of a cultural reference to a dance style."
"I hope he Crip walk with it";"0";"context";;"1";"cultural innuendo";"The comment refers to 'Crip walk,' a dance associated with the Crips gang, which is often linked to drug culture. While it doesn't directly mention drugs, it indirectly references a culture where drug use is prevalent."
"bro finna be more blazed than the torch itself 💀";"2";"no context";;"1";"slang";"The term 'blazed' is a slang term commonly used to describe being high on marijuana. The comment uses this slang in a humorous way to compare the level of being high to a torch, which is known for its intense flame. The skull emoji (💀) adds a humorous or exaggerated tone to the statement."
"bro finna be more blazed than the torch itself 💀";"2";"context";;"1";"slang";"The comment uses the slang term 'blazed,' which is commonly associated with being high on marijuana. The humor in the comment suggests that Snoop Dogg, known for his association with cannabis culture, will be more 'blazed' than the Olympic torch, indirectly referencing drug use."
"🔥🔥👌🤘😎";"1";"no context";;"0";"emoji";"The comment consists solely of emojis that are commonly used to express excitement, approval, or coolness. There are no direct or indirect references to drugs, drug-related slang, or hidden meanings associated with drug culture."
"🔥🔥👌🤘😎";"1";"context";;"0";"none";"The comment consists of emojis that express excitement and coolness but do not have any direct or indirect drug-related meanings."
"snoop safely uses the torch as a lighter for his joint 🍁🥦";"2";"no context";;"2";"slang, emoji";"The comment directly refers to drug use by mentioning a 'joint,' which is a common term for a marijuana cigarette. The emojis 🍁 and 🥦 are often used as slang representations for marijuana."
"snoop safely uses the torch as a lighter for his joint 🍁🥦";"2";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg would use the Olympic torch to light a joint, which indirectly references marijuana use. The emojis 🍁 and 🥦 are often used to represent marijuana."
"He is always with a torch anyways, he is used to it 😂";"1";"no context";;"1";"slang";"The term 'torch' can be slang for a device used to smoke drugs, such as a butane torch used for dabbing cannabis concentrates. The comment indirectly references drug use through this slang term."
"He is always with a torch anyways, he is used to it 😂";"1";"context";;"1";"humor";"The comment indirectly refers to drugs through humor. The term 'torch' is used as a play on words, suggesting Snoop Dogg's known association with smoking, particularly marijuana, which is often humorously referred to as 'carrying a torch' due to the act of lighting it."
"nah bro gunna use it to light his blunt";"2";"no context";;"1";"slang";"The comment indirectly refers to drugs through the use of the word 'blunt,' which is slang for a marijuana cigar. The context suggests using something to light a blunt, indicating drug use."
"nah bro gunna use it to light his blunt";"2";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg will use the Olympic torch to light a blunt, which is a slang term for a marijuana cigarette. This is an indirect reference to drugs through humor and cultural innuendo, as Snoop Dogg is known for his association with cannabis culture."
"Hope he don’t drop it likes it hot. 🔥";"1";"no context";;"1";"cultural innuendo";"The phrase 'drop it like it's hot' is a cultural reference to a popular song by Snoop Dogg, which includes themes related to drug culture. The fire emoji can also imply something intense or 'hot,' which can be a metaphor for drugs. However, the reference is indirect and relies on cultural context."
"Hope he don’t drop it likes it hot. 🔥";"1";"context";;"1";"cultural innuendo";"The comment references Snoop Dogg's song 'Drop It Like It's Hot,' which is culturally associated with Snoop Dogg's persona, often linked to marijuana use. The use of the fire emoji can also be interpreted as a subtle nod to smoking or 'fire' as slang for high-quality marijuana."
"What hasn’t he done. He has to be the most accomplished human being in history.";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It is a straightforward expression of admiration for someone's accomplishments without any drug-related language, slang, emojis, or hidden meanings."
"What hasn’t he done. He has to be the most accomplished human being in history.";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It is a general statement expressing admiration for Snoop Dogg's accomplishments."
"Plot twist the torch ends up being a blunt🫡🇺🇸💨";"2";"no context";;"1";"slang, emoji";"The comment uses the word 'blunt,' which is slang for a marijuana cigar. The emojis used (saluting face, American flag, and cloud) can be interpreted as indirectly referencing smoking or getting high, with the cloud emoji often used to represent smoke."
"Plot twist the torch ends up being a blunt🫡🇺🇸💨";"2";"context";;"1";"humor";"The comment humorously suggests that the Olympic torch could be a blunt, which is a slang term for a marijuana cigarette. The use of the smoke emoji (💨) further implies a reference to smoking, which is often associated with marijuana use. The comment indirectly refers to drugs through humor and cultural innuendo."
"Snoop Dogg is the best rapper in the world💀";"0";"no context";;"1";"cultural innuendo";"Snoop Dogg is widely known for his association with cannabis culture, which can be an indirect reference to drugs. The use of the skull emoji (💀) might imply humor or sarcasm, but in this context, it doesn't add to the drug reference."
"Snoop Dogg is the best rapper in the world💀";"0";"context";;"0";"none";"The comment praises Snoop Dogg as a rapper and uses a skull emoji, which is often used to express laughter or amazement. There is no direct or indirect reference to drugs."
"Snoop never misses 🔥";"1";"no context";;"1";"cultural innuendo";"The comment indirectly refers to drugs through cultural innuendo. Snoop Dogg is widely known for his association with cannabis use, and the fire emoji can imply something is 'lit' or 'hot,' which in this context could suggest marijuana use."
"Snoop never misses 🔥";"1";"context";;"1";"emoji";"The comment uses the fire emoji, which can be associated with smoking or 'lighting up,' a common reference to marijuana use. Given Snoop Dogg's known association with cannabis culture, this could be an indirect reference to drug use."
"Great side mission";"0";"no context";;"0";"none";"The comment 'Great side mission' does not contain any direct or indirect references to drugs. It appears to be a straightforward statement, possibly related to gaming or a task, without any drug-related language, slang, or hidden meanings."
"Great side mission";"0";"context";;"0";"none";"The comment 'Great side mission' does not contain any direct or indirect references to drugs. It appears to be a general comment, possibly referring to Snoop Dogg's involvement in carrying the Olympic torch as an interesting or unexpected activity, akin to a 'side mission' in a video game or story."
"The Olympic Torch is gonna be one of his Blunts from high school.";"2";"no context";;"1";"slang";"The comment indirectly refers to drugs through the use of the word 'Blunts,' which is a slang term for marijuana cigars. The humor in comparing an Olympic Torch to a blunt suggests a cultural innuendo related to drug use."
"The Olympic Torch is gonna be one of his Blunts from high school.";"2";"context";;"1";"humor";"The comment humorously suggests that the Olympic Torch will be like one of Snoop Dogg's blunts, which indirectly references marijuana use, as Snoop Dogg is known for his association with cannabis culture."
"What?😅";"0";"no context";;"0";"none";"The comment 'What?😅' does not contain any direct or indirect references to drugs. It is a simple expression of confusion or surprise, accompanied by a laughing emoji, which does not imply any drug-related content."
"What?😅";"0";"context";;"0";"none";"The comment 'What?😅' does not contain any direct or indirect references to drugs. It appears to express surprise or confusion, possibly in a humorous way, but there is no indication of drug-related language or innuendo."
"He gonna light a blunt up with it";"2";"no context";;"2";"slang";"The term 'blunt' is a slang term for a marijuana cigar, indicating a direct reference to drug use."
"He gonna light a blunt up with it";"2";"context";;"1";"humor";"The comment humorously suggests that Snoop Dogg will use the Olympic torch to light a blunt, which is a slang term for a marijuana cigarette. This is an indirect reference to drugs through humor and cultural innuendo, as Snoop Dogg is known for his association with cannabis culture."
"Snoop out of breath 💨💨💨 Paris like that's that damn zaza..";"1";"no context";;"1";"slang";"The comment indirectly refers to drugs using the slang term 'zaza,' which is commonly used to describe high-quality marijuana. The use of the smoke emoji 💨 also suggests smoking, which can be associated with drug use."
"Snoop out of breath 💨💨💨 Paris like that's that damn zaza..";"1";"context";;"1";"slang";"The comment uses the term 'zaza,' which is slang for high-quality marijuana. The use of the smoke emoji 💨 also indirectly references smoking, which is often associated with marijuana use. The comment humorously suggests that Snoop Dogg might be out of breath due to smoking 'zaza.'"
"💙💙🔥🔥🔥🔥";"1";"no context";;"0";"None";"The comment consists of heart and fire emojis, which are commonly used to express love, excitement, or enthusiasm. There is no direct or indirect reference to drugs in this comment."
"💙💙🔥🔥🔥🔥";"1";"context";;"0";"none";"The comment consists of heart and fire emojis, which are commonly used to express excitement or enthusiasm. There is no direct or indirect reference to drugs in this comment."
"Bring Charlie with ya brodie";"0";"no context";;"1";"slang";"The term 'Charlie' is a common slang for cocaine. The comment indirectly refers to drugs by using this slang term."
"Bring Charlie with ya brodie";"0";"context";;"1";"slang";"The term 'Charlie' is a slang term for cocaine. The comment indirectly refers to drugs by using this slang term."
"😂😂😂";"0";"no context";;"0";"none";"The comment consists solely of laughing emojis, which do not have any direct or indirect drug-related connotations. It appears to be expressing amusement or laughter without any reference to drugs."
"😂😂😂";"0";"context";;"0";"humor";"The comment consists solely of laughing emojis, which do not have any direct or indirect drug-related connotations. It is likely expressing amusement or humor, possibly in response to the idea of Snoop Dogg carrying the Olympic torch."
"Iconic!";"0";"no context";;"0";"none";"The comment 'Iconic!' does not contain any direct or indirect references to drugs. It is a general expression of admiration or praise, without any drug-related language, slang, or hidden meanings."
"Iconic!";"0";"context";;"0";"none";"The comment 'Iconic!' does not contain any direct or indirect references to drugs. It is simply expressing admiration or excitement about Snoop Dogg carrying the Olympic torch."
"Why don’t we get someone who has actually accomplished something like Donald Trump or George W. Bush";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs, drug-related slang, emojis, or hidden meanings related to drugs. It is a political statement mentioning public figures."
"Why don’t we get someone who has actually accomplished something like Donald Trump or George W. Bush";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It mentions public figures Donald Trump and George W. Bush in the context of accomplishments, which is unrelated to drug-related language or innuendo."
"The Olympics will never be the same !!";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses an opinion about the Olympics without using any drug-related language, slang, emojis, or hidden meanings."
"The Olympics will never be the same !!";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses excitement or anticipation about the Olympics being different, likely due to Snoop Dogg's involvement."
"Y’all know weed is illegal in France, right?";"2";"no context";;"2";"direct drug name";"The comment directly mentions 'weed,' which is a common slang term for marijuana, a drug. It also discusses its legal status in France, making it a direct reference to drugs."
"Y’all know weed is illegal in France, right?";"2";"context";;"2";"direct drug name";"The comment directly mentions 'weed,' which is a common name for marijuana, a drug. The comment is discussing the legality of weed in France, making it a direct reference to drugs."
"T to the O to the R-C-H. Snoop Dogg carry flames to the O-lympic Games.";"0";"no context";;"1";"cultural innuendo";"The comment indirectly references drugs through cultural innuendo. Snoop Dogg is a well-known figure associated with cannabis culture, and the mention of 'flames' could be a play on words related to lighting up or smoking. However, the comment is not a direct reference to drugs."
"T to the O to the R-C-H. Snoop Dogg carry flames to the O-lympic Games.";"0";"context";;"1";"cultural innuendo";"The comment uses the word 'flames' which can be a cultural innuendo related to Snoop Dogg's known association with cannabis, often referred to as 'flame' or 'fire' in slang. The playful wording hints at this connection indirectly."
"legendary crip";"0";"no context";;"1";"slang";"The term 'crip' can be associated with the Crips gang, which is known for involvement in drug-related activities. While the comment does not directly mention drugs, the reference to a gang can imply indirect drug-related connotations."
"legendary crip";"0";"context";;"0";"cultural innuendo";"The comment 'legendary crip' refers to Snoop Dogg's affiliation with the Crips gang, which is a cultural reference rather than a direct or indirect reference to drugs. While gangs may be associated with drug activity, the comment itself does not mention drugs directly or indirectly."
"It’ll be a torch alright! 💨💨";"1";"no context";;"1";"emoji";"The comment uses the emoji 💨💨, which can be associated with smoking or vaping, often used in the context of smoking marijuana or other substances. The word 'torch' can also imply lighting something, which could be a reference to lighting a joint or similar. This makes the reference indirect."
"It’ll be a torch alright! 💨💨";"1";"context";;"1";"emoji";"The comment uses the smoke emoji (💨), which is often associated with smoking, particularly marijuana. Given Snoop Dogg's known association with cannabis culture, this comment indirectly references drugs through the use of emoji and cultural innuendo."
"Literally completed everything in life you can possibly imagine 😂😂";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It uses humor and exaggeration to express a sense of accomplishment, but there are no drug-related terms, slang, or emojis present."
"Literally completed everything in life you can possibly imagine 😂😂";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It is a humorous remark about Snoop Dogg's achievements, suggesting he has done everything imaginable, but it does not imply drug use."
"Why lol";"0";"no context";;"0";"none";"The comment 'Why lol' does not contain any direct or indirect references to drugs. It is a simple expression of amusement or confusion, commonly used in digital communication, without any drug-related language, slang, or hidden meanings."
"Why lol";"0";"context";;"0";"none";"The comment 'Why lol' does not contain any direct or indirect references to drugs. It is a simple expression of amusement or confusion without any drug-related language or innuendo."
"merica fr 🇺🇸";"0";"no context";;"0";"none";"The comment 'merica fr 🇺🇸' does not contain any direct or indirect references to drugs. It appears to be a casual or humorous expression of patriotism, using a slang abbreviation for 'America' and the American flag emoji."
"merica fr 🇺🇸";"0";"context";;"0";"none";"The comment 'merica fr 🇺🇸' does not contain any direct or indirect references to drugs. It appears to be a patriotic expression related to America, possibly in support of Snoop Dogg or the Olympics, with the use of the American flag emoji."
"🔥🔥 🇸🇳 🇺🇸 🇫🇷 @snoopdogg 😎😎";"0";"no context";;"1";"cultural innuendo";"The comment tags Snoop Dogg, a well-known cultural figure associated with cannabis use. While there is no direct mention of drugs, the association with Snoop Dogg can imply a reference to marijuana due to his public persona and advocacy."
